iter	Passed	Remaining
310	627	1389
311	628	1386
312	631	1385
313	632	1382
314	634	1379
315	635	1376
316	637	1372
317	638	1369
318	639	1365
319	640	1361
320	642	1358
321	644	1357
322	646	1355
323	648	1353
324	650	1350
325	651	1346
326	653	1344
327	654	1340
328	655	1337
329	657	1334
330	659	1332
331	661	1330
332	662	1326
333	663	1323
334	665	1320
335	666	1317
336	668	1314
337	669	1311
338	670	1308
339	672	1306
340	674	1303
341	676	1300
342	677	1297
343	679	1294
344	680	1292
345	682	1289
346	683	1286
347	685	1284
348	687	1281
349	688	1279
350	690	1276
351	692	1274
352	693	1271
353	695	1269
354	697	1266
355	699	1264
356	700	1261
357	702	1259
358	704	1257
359	705	1255
360	707	1252
361	709	1249
362	710	1247
363	712	1244
364	713	1241
365	715	1238
366	717	1237
367	719	1234
368	721	1233
369	722	1230
370	724	1227
371	725	1225
372	727	1222
373	728	1219
374	730	1217
375	732	1215
376	733	1212
377	735	1210
378	737	1208
379	738	1205
380	740	1203
381	742	1200
382	743	1198
383	745	1195
384	747	1193
385	749	1191
386	751	1189
387	752	1186
388	753	1183
389	755	1181
390	757	1179
391	758	1176
392	760	1173
393	761	1171
394	763	1170
395	765	1168
396	767	1165
397	769	1163
398	770	1161
399	772	1158
400	773	1156
401	775	1153
402	777	1151
403	779	1149
404	781	1147
405	782	1145
406	784	1142
407	785	1139
408	786	1137
409	788	1134
410	790	1132
411	791	1129
412	793	1127
413	795	1125
414	797	1123
415	798	1121
416	800	1118
417	801	1116
418	803	1113
419	804	1111
420	806	1109
421	808	1107
422	810	1105
423	811	1103
424	813	1100
425	815	1098
426	816	1095
427	818	1093
428	819	1090
429	821	1088
430	823	1086
431	825	1084
432	826	1082
433	828	1080
434	830	1078
435	831	1075
436	833	1073
437	834	1070
438	836	1068
439	837	1066
440	839	1064
441	841	1062
442	843	1060
443	844	1057
444	846	1055
445	847	1053
446	849	1050
447	850	1048
448	852	1046
449	854	1044
450	856	1042
451	858	1040
452	859	1038
453	861	1035
454	862	1033
455	864	1031
456	866	1029
457	868	1027
458	870	1026
459	872	1023
460	873	1021
461	875	1019
462	877	1017
463	878	1014
464	879	1012
465	881	1010
466	883	1008
467	885	1006
468	887	1004
469	888	1002
470	890	999
471	891	997
472	892	994
473	894	992
474	895	989
475	896	987
476	898	985
477	900	983
478	902	981
479	903	978
480	905	976
481	906	974
482	907	971
483	909	969
484	910	967
485	912	964
486	913	962
487	915	960
488	916	958
489	918	955
490	919	953
491	921	951
492	922	948
493	923	946
494	925	944
495	926	941
496	928	939
497	930	937
498	932	935
499	933	933
500	934	930
501	935	928
502	937	926
503	938	923
504	940	921
505	941	919
506	942	916
507	943	914
508	945	912
509	946	909
510	948	907
511	949	904
512	950	902
513	951	900
514	953	897
515	954	895
516	955	892
517	956	890
518	958	888
519	959	885
520	960	883
521	962	881
522	963	878
523	964	876
524	965	873
525	967	871
526	968	869
527	969	866
528	971	864
529	972	862
530	973	860
531	975	857
532	976	855
533	977	853
534	979	850
535	980	848
536	981	846
537	983	844
538	985	842
539	986	840
540	987	838
541	989	836
542	991	834
543	992	832
544	993	829
545	995	828
546	997	826
547	999	824
548	1001	822
549	1003	820
550	1004	818
551	1006	816
552	1008	815
553	1010	813
554	1012	811
555	1013	809
556	1015	807
557	1016	805
558	1017	802
559	1019	801
560	1021	799
561	1023	797
562	1025	796
563	1027	794
564	1028	792
565	1030	790
566	1032	788
567	1033	786
568	1035	784
569	1038	783
570	1040	781
571	1042	779
572	1043	777
573	1044	775
574	1046	773
575	1048	771
576	1050	770
577	1052	768
578	1055	767
579	1056	765
580	1058	763
581	1060	761
582	1061	759
583	1063	757
584	1066	756
585	1067	754
586	1069	752
587	1071	750
588	1072	748
589	1073	746
590	1075	744
591	1076	742
592	1078	740
593	1079	738
594	1081	736
595	1083	734
596	1085	732
597	1086	730
598	1088	728
599	1089	726
600	1090	724
601	1092	722
602	1094	720
603	1095	718
604	1098	716
605	1099	714
606	1101	712
607	1102	710
608	1103	708
609	1105	706
610	1107	704
611	1109	703
612	1111	701
613	1113	699
614	1114	697
615	1116	695
616	1117	693
617	1118	691
618	1120	689
619	1121	687
620	1123	685
621	1125	683
622	1127	682
623	1128	680
624	1130	678
625	1131	676
626	1133	674
627	1134	672
628	1136	670
629	1138	668
630	1140	666
631	1142	665
632	1143	663
633	1145	661
634	1147	659
635	1149	657
636	1150	655
637	1152	654
638	1156	653
639	1158	651
640	1160	649
641	1162	647
642	1164	646
643	1169	646
644	1171	645
645	1173	643
646	1175	641
647	1176	639
648	1177	637
649	1179	635
650	1181	633
651	1183	631
652	1185	629
653	1187	628
654	1189	626
655	1190	624
656	1192	622
657	1194	620
658	1196	618
659	1198	617
660	1200	615
661	1201	613
662	1203	611
663	1205	609
664	1206	607
665	1208	605
666	1209	604
667	1211	602
668	1213	600
669	1215	598
670	1217	596
671	1219	595
672	1220	593
673	1223	591
674	1226	590
675	1228	588
676	1230	587
677	1232	585
678	1234	583
679	1236	581
680	1237	579
681	1239	578
682	1242	576
683	1244	574
684	1246	573
685	1248	571
686	1250	569
687	1251	567
688	1253	565
689	1255	563
690	1257	562
691	1259	560
692	1261	558
693	1262	556
694	1264	554
695	1265	552
696	1267	550
697	1268	548
698	1270	546
699	1272	545
700	1274	543
701	1276	542
702	1279	540
703	1280	538
704	1282	536
705	1284	534
706	1286	533
707	1288	531
708	1290	529
709	1292	527
710	1293	525
711	1294	523
712	1296	521
713	1298	519
714	1299	518
715	1302	516
716	1304	514
717	1306	513
718	1307	511
719	1309	509
720	1310	507
721	1312	505
722	1314	503
723	1316	501
724	1318	500
725	1320	498
726	1321	496
727	1323	494
728	1325	492
729	1326	490
730	1328	488
731	1331	487
732	1333	485
733	1335	484
734	1337	482
735	1339	480
736	1340	478
737	1342	476
738	1344	474
739	1346	473
740	1348	471
741	1350	469
742	1352	467
743	1354	465
744	1355	464
745	1357	462
746	1358	460
747	1360	458
748	1362	456
749	1365	455
750	1366	453
751	1368	451
752	1370	449
753	1372	447
754	1373	445
755	1374	443
756	1376	441
757	1378	440
758	1381	438
759	1382	436
760	1384	434
761	1385	432
762	1387	430
763	1389	429
764	1392	427
765	1394	426
766	1396	424
767	1398	422
768	1400	420
769	1401	418
770	1403	416
771	1404	414
772	1406	413
773	1408	411
774	1410	409
775	1412	407
776	1414	405
777	1415	403
778	1417	402
779	1418	400
780	1420	398
781	1422	396
782	1424	394
783	1425	392
784	1427	391
785	1429	389
786	1430	387
787	1432	385
788	1433	383
789	1436	381
790	1437	379
791	1439	378
792	1441	376
793	1443	374
794	1445	372
795	1446	370
796	1448	368
797	1450	367
798	1452	365
799	1454	363
800	1455	361
801	1457	359
802	1459	358
803	1461	356
804	1463	354
805	1464	352
806	1467	350
807	1469	349
808	1470	347
809	1472	345
810	1474	343
811	1476	341
812	1477	339
813	1479	338
814	1481	336
815	1483	334
816	1486	332
817	1487	331
818	1489	329
819	1491	327
820	1492	325
821	1494	323
822	1496	321
823	1499	320
824	1501	318
825	1503	316
826	1504	314
827	1506	312
828	1508	311
829	1510	309
830	1513	307
831	1515	305
832	1517	304
833	1519	302
834	1520	300
835	1521	298
836	1523	296
837	1525	294
838	1527	293
839	1529	291
840	1531	289
841	1532	287
842	1534	285
843	1535	283
844	1537	281
845	1539	280
846	1540	278
847	1543	276
848	1545	274
849	1546	272
850	1548	271
851	1550	269
852	1551	267
853	1553	265
854	1555	263
855	1557	261
856	1559	260
857	1561	258
858	1563	256
859	1564	254
860	1565	252
861	1567	250
862	1569	249
863	1571	247
864	1573	245
865	1574	243
866	1576	241
867	1577	239
868	1579	238
869	1581	236
870	1582	234
871	1584	232
872	1586	230
873	1588	228
874	1590	227
875	1591	225
876	1593	223
877	1594	221
878	1596	219
879	1597	217
880	1599	216
881	1601	214
882	1603	212
883	1604	210
884	1606	208
885	1607	206
886	1609	205
887	1611	203
888	1612	201
889	1614	199
890	1616	197
891	1617	195
892	1619	194
893	1621	192
894	1623	190
895	1624	188
896	1626	186
897	1628	184
898	1630	183
899	1631	181
900	1633	179
901	1635	177
902	1637	175
903	1639	174
904	1640	172
905	1642	170
906	1644	168
907	1646	166
908	1648	165
909	1650	163
910	1651	161
911	1653	159
912	1654	157
913	1656	155
914	1657	153
915	1659	152
916	1661	150
917	1663	148
918	1664	146
919	1666	144
920	1667	143
921	1669	141
922	1671	139
923	1672	137
924	1674	135
925	1675	133
926	1677	132
927	1679	130
928	1681	128
929	1682	126
930	1684	124
931	1686	123
932	1688	121
933	1690	119
934	1691	117
935	1693	115
936	1695	113
937	1696	112
938	1698	110
939	1699	108
940	1701	106
941	1702	104
942	1704	103
943	1706	101
944	1707	99
945	1709	97
946	1711	95
947	1713	93
948	1714	92
949	1716	90
950	1717	88
951	1719	86
952	1721	84
953	1722	83
954	1724	81
955	1726	79
956	1727	77
957	1728	75
958	1730	73
959	1731	72
960	1733	70
961	1735	68
962	1737	66
963	1738	64
964	1740	63
965	1741	61
966	1743	59
967	1744	57
968	1745	55
969	1747	54
970	1748	52
971	1750	50
972	1751	48
973	1752	46
974	1754	44
975	1755	43
976	1756	41
977	1758	39
978	1759	37
979	1760	35
980	1762	34
981	1763	32
982	1764	30
983	1765	28
984	1767	26
985	1768	25
986	1769	23
987	1771	21
988	1772	19
989	1774	17
990	1775	16
991	1776	14
992	1777	12
993	1779	10
994	1780	8
995	1781	7
996	1783	5
997	1784	3
998	1785	1
999	1787	0
